name,address
Las tapas,"Улица Кенесары, 61, Астана"
Yessil,"Улица Бейбитшилик, 8, Астана"
Uchquduq terrace,"Парк Астана, проспект Туран, 4/4, Астана"
Bitanga,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Сербский Роштиль,"Талгата Бигельдинова улица, 8/1, Астана"
Capri,"Radisson Hotel, проспект Сарыарка, 4, Астана"
Fazenda,"Улица Исатай Тайманова, 31, Косшы, Косшы городская администрация, Акмолинская область"
Han,"Проспект Мангилик Ел, 47/1, Астана"
RBG,"Проспект Сарыарка, 8а, Астана"
Sorte,"Проспект Мангилик Ел, 41/5, Астана"
KorkemTau,"Улица Жаханша Сейдалин, 1/1, Астана"
Vincent,"Кабанбай батыр проспект, 49, Астана"
Brooks,"Шоссе Коргалжын, 29, Астана"
Sadaf,"Гостиница King Hotel Astana, улица Шокан Уалиханов, 7, Астана"
DaMaSan,"Улица Кайым Мухамедханов, 4в, Астана"
Счастье,"Проспект Нургиса Тлендиева, 3/3, Астана"
Sirne,"Улица Ахмет Байтурсынулы, 18, Астана"
Хмельница,"Улица Кенесары, 75, Астана"
Caviar,"Проспект Мангилик Ел, 54, Астана"
Sreda,"Улица Сулуколь, 18, Астана"
Sakaba,"Улица Сагадат Нурмагамбетов, 19, Астана"
Шашлыкоff,"Улица Мухтара Ауэзова, 43, Астана"
Ocean Basket,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Bella ciao,"Проспект Туран, 53в, Астана"
Kral,"Шоссе Алаш, 39а, Астана"
Agugai,"Шоссе Коргалжын, 76, Астана"
Azerifood,"Улица Сафуан Шаймерденов, 3 стр, Астана"
Beerkeller,"Улица Желтоксан, 48/1, Астана"
Belon Garden,"Улица Арнасай, 1/1, Астана"
Zumret,"Проспект Улы Дала, 41в, Астана"
Восточный двор,"Улица Республики, 1Б, Косшы, Косшы городская администрация, Акмолинская область"
Java,"Проспект Нургиса Тлендиева, 46, Астана"
Асату,"Проспект Сарыарка, 22, Астана"
SF,"Улица Республики, 2д, Косшы, Косшы городская администрация, Акмолинская область"
